start_station_name,lat,lon
Green St & Madison St,41.8818555,-87.64884533333333
State St & Van Buren St,41.877181,-87.627844
Clark St & Randolph St,41.884576,-87.63189
Canal St & Madison St,41.882091,-87.639833
Damen Ave & Walnut (Lake) St,41.885951,-87.677009
Michigan Ave & Washington St,41.88358466666666,-87.62372066666667
Larrabee St & Division St,41.903486,-87.643353
Michigan Ave & Madison St,41.882134,-87.625125
Orleans St & Hubbard St,41.890028,-87.636618
Wabash Ave & 9th St,41.870769,-87.625734
Clinton St & Tilden St,41.8758725,-87.64074233333334
Damen Ave & Wabansia Ave,41.91,-87.68
Western Ave & Winnebago Ave,41.91552,-87.687022
Wabash Ave & 16th St,41.860384,-87.625813
Wentworth Ave & 35th St,41.830777,-87.632504
Wolcott Ave & Polk St,41.871262,-87.673688
Wood St & Taylor St (Temp),41.869265218438194,-87.67373085021973
Central Park Ave & Bloomingdale Ave,41.9141515,-87.71673633333333
Ashland Ave & Belle Plaine Ave,41.95609533333333,-87.66895283333334
Albany Ave & Montrose Ave,41.961041,-87.705866
Damen Ave & Sunnyside Ave,41.96326666666667,-87.67929616666666
Calumet Ave & 35th St,41.831379,-87.618034
Stave St & Armitage Ave,41.917757,-87.69144033333333
Greenview Ave & Fullerton Ave,41.92544566666667,-87.6658245
Sheffield Ave & Kingsbury St,41.910522,-87.653106
Dorchester Ave & 49th St,41.805772,-87.592464
Kedzie Ave & Milwaukee Ave,41.929567,-87.707857
Honore St & Division St,41.903119,-87.673935
Sheffield Ave & Wrightwood Ave,41.928712,-87.653833
State St & 33rd St,41.834734,-87.625813
Harper Ave & 59th St,41.78794281287,-87.5883151702
Wilton Ave & Diversey Pkwy,41.932418,-87.652705
Spaulding Ave & Armitage Ave,41.91710803478932,-87.71022096276283
Lincoln Ave & Balmoral Ave,41.98,-87.69
Theater on the Lake,41.926277,-87.630834
Western Ave & 21st St,41.854109,-87.685838
Damen Ave & Chicago Ave,41.895769,-87.67722
California Ave & Cortez St,41.90035983333333,-87.69671966666667
Racine Ave & Washington Blvd,41.883093333333335,-87.657034
Leavitt St & Chicago Ave,41.8955005,-87.681989
Clark St & North Ave,41.911974,-87.631942
Sedgwick St & Schiller St,41.907695333333336,-87.63856533333333
Wolcott (Ravenswood) Ave & Montrose Ave,41.961406,-87.676169
Ogden Ave & Congress Pkwy,41.87501,-87.67328
Logan Blvd & Elston Ave,41.929481333333335,-87.68418466666667
Clark St & Drummond Pl,41.931214,-87.64428033333333
Blue Island Ave & 18th St,41.857556,-87.661535
McClurg Ct & Erie St,41.894426584,-87.617775202
Michigan Ave & 18th St,41.857813,-87.62455
Avers Ave & Belmont Ave,41.939408,-87.723574
Spaulding Ave & Division St,41.902740955,-87.709333181
Milwaukee Ave & Rockwell St,41.920266,-87.69267566666667
Lawndale Ave & 16th St,41.86,-87.72
MLK Jr Dr & Pershing Rd,41.8246,-87.61678
Kedzie Ave & Bryn Mawr Ave,41.98222975911517,-87.70888656377792
Glenwood Ave & Morse Ave,42.007992864,-87.665484071
